state,tax_rate,start,end,standard_deduction
Maryland,0.0525,125000,150000,2350
Maryland,0.06,150000,250000,2350
Maryland,0.0575,250000,1000000000000000,2350
,,,,
Massachusetts,0.05,0,1000000000000000,0
,,,,
Michigan,0.0425,0,1000000000000000,0
,,,,
Minnesota,0.0535,0,28080,12900
Minnesota,0.07,28080,92230,12900
Minnesota,0.0785,92230,171220,12900
Minnesota,0.0985,171220,1000000000000000,12900
,,,,
Mississippi,0.04,5000,10000,2300
Mississippi,0.05,10000,1000000000000000,2300
,,,,
Missouri,0.02,108,1088,12950
Missouri,0.02,1088,2176,12950
Missouri,0.03,2176,3264,12950
Missouri,0.03,3264,4352,12950
Missouri,0.04,4352,5440,12950
Missouri,0.04,5440,6528,12950
Missouri,0.05,6528,7616,12950
Missouri,0.05,7616,8704,12950
Missouri,0.05,8704,1000000000000000,12950
,,,,
Montana,0.01,0,3100,4830
Montana,0.02,3100,5500,4830
Montana,0.03,5500,8400,4830
Montana,0.04,8400,11400,4830
Montana,0.05,11400,14600,4830
Montana,0.06,14600,18800,4830
Montana,0.0675,18800,1000000000000000,4830
,,,,
Nebraska,0.0246,0,3440,7350
Nebraska,0.0351,3440,20590,7350
Nebraska,0.0501,20590,33180,7350
Nebraska,0.0684,33180,1000000000000000,7350
,,,,
Nevada,0,0,0,0
,,,,
New Hampshire,0,0,0,0
,,,,
New Jersey,0.014,0,20000,0
New Jersey,0.018,20000,35000,0
New Jersey,0.035,35000,40000,0
New Jersey,0.05525,40000,75000,0
New Jersey,0.064,75000,500000,0
New Jersey,0.090,500000,1000000,0
New Jersey,0.108,1000000,1000000000000000,0
,,,,
,,,,
New Mexico,0.02,0,5500,12950
New Mexico,0.03,5500,11000,12950
New Mexico,0.05,11000,16000,12950
New Mexico,0.05,16000,210000,12950
New Mexico,0.06,210000,1000000000000000,12950
,,,,
New York,0.04,0,8500,8000
New York,0.05,8500,11700,8000
New York,0.0525,11700,13900,8000
New York,0.0585,13900,80650,8000
New York,0.0625,80650,215400,8000
New York,0.0685,215400,1077550,8000
New York,0.0965,1077550,5000000,8000
New York,0.10,5000000,25000000,8000
New York,0.11,25000000,1000000000000000,8000
,,,,
North Carolina,0.0499,0,1000000000000000,12750
,,,,
North Dakota,0.01,0,40525,12950
North Dakota,0.0204,40525,98100,12950
North Dakota,0.0227,98100,204675,12950
North Dakota,0.0264,204675,445000,12950
North Dakota,0.03,445000,1000000000000000,12950
,,,,
Ohio,0.02765,25000,44250,0
Ohio,0.03226,44250,88450,0
Ohio,0.03688,88450,110650,0
Ohio,0.040,110650,1000000000000000,0
,,,,
Oklahoma,0.0025,0,1000,6350
Oklahoma,0.0075,1000,2500,6350
Oklahoma,0.0175,2500,3750,6350
Oklahoma,0.0275,3750,4900,6350
Oklahoma,0.0375,4900,7200,6350
Oklahoma,0.0475,7200,1000000000000000,6350
,,,,
Oregon,0.0475,0,3650,2420
Oregon,0.0675,3650,9200,2420
Oregon,0.0875,9200,125000,2420
Oregon,0.10,125000,1000000000000000,2420
,,,,
Pennsylvania,0.0307,0,1000000000000000,0
,,,,
Rhode Island,0.0375,0,68200,9300
Rhode Island,0.0475,68200,155050,9300
Rhode Island,0.0599,155050,1000000000000000,9300
,,,,
South Carolina,0.00,0,3200,12950
South Carolina,0.03,3200,6410,12950
South Carolina,0.04,6410,9620,12950
South Carolina,0.05,9620,12820,12950
South Carolina,0.06,12820,16040,12950
South Carolina,0.07,16040,1000000000000000,12950
,,,,
South Dakota,0,0,0,0
,,,,
Tennessee,0,0,0,0
,,,,
Texas,0,0,0,0
,,,,
Utah,0.0495,0,1000000000000000,777
,,,,
Vermont,0.0335,0,40950,6350
Vermont,0.07,40950,99200,6350
Vermont,0.08,99200,206950,6350
Vermont,0.0875,206950,1000000000000000,6350
,,,,
Virginia,0.02,0,3000,4500
Virginia,0.03,3000,5000,4500
Virginia,0.05,5000,17000,4500
Virginia,0.0575,17000,1000000000000000,4500
,,,,
Washington,0,0,0,0
,,,,
West Virginia,0.03,0,10000,0
West Virginia,0.04,10000,25000,0
West Virginia,0.05,25000,40000,0
West Virginia,0.06,40000,60000,0
West Virginia,0.07,60000,1000000000000000,0
,,,,
Wisconsin,0.0354,0,12760,11790
Wisconsin,0.0465,12760,25520,11790
Wisconsin,0.05,25520,280950,11790
Wisconsin,0.0765,280950,1000000000000000,11790
,,,,
Wyoming,0,0,0,0
,,,,
District of Columbia,0.04,0,10000,12950
District of Columbia,0.06,10000,40000,12950
District of Columbia,0.07,40000,60000,12950
District of Columbia,0.09,60000,250000,12950
District of Columbia,0.0925,250000,500000,12950
District of Columbia,0.0975,500000,1000000,12950
District of Columbia,0.1075,1000000,1000000000000000,12950
